--------- beginning of main
07-13 16:05:43.581  1919 10068 I ZunoPlugin: === LIVE TV DIAGNOSTICS ===
07-13 16:05:43.581  1919 10068 I ZunoPlugin: Diagnosing provider: CloudPlay
07-13 16:05:43.581  1919 10068 I ZunoPlugin:  - mainUrl: https://host.cloudplay.me
07-13 16:05:43.581  1919 10068 I ZunoPlugin:  - mainPage size: 1
07-13 16:05:43.581  1919 10068 I ZunoPlugin:  - Calling getMainPage for page ''...
07-13 16:05:53.641  1919 10068 E ZunoPlugin:    -> FAILED: java.net.SocketTimeoutException: failed to connect to host.cloudplay.me/49.44.79.236 (port 443) from /192.168.0.244 (port 48792) after 10000ms
07-13 16:05:53.641  1919 10068 E ZunoPlugin: java.net.SocketTimeoutException: failed to connect to host.cloudplay.me/49.44.79.236 (port 443) from /192.168.0.244 (port 48792) after 10000ms
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at libcore.io.IoBridge.connectErrno(IoBridge.java:235)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at libcore.io.IoBridge.connect(IoBridge.java:179)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at java.net.PlainSocketImpl.socketConnect(PlainSocketImpl.java:142)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at java.net.AbstractPlainSocketImpl.doConnect(AbstractPlainSocketImpl.java:390)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at java.net.AbstractPlainSocketImpl.connectToAddress(AbstractPlainSocketImpl.java:230)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at java.net.AbstractPlainSocketImpl.connect(AbstractPlainSocketImpl.java:212)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at java.net.SocksSocketImpl.connect(SocksSocketImpl.java:436)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at java.net.Socket.connect(Socket.java:646)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at okhttp3.internal.platform.Platform.connectSocket(Platform.kt:148)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at okhttp3.internal.connection.ConnectPlan.connectSocket(ConnectPlan.kt:276)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at okhttp3.internal.connection.ConnectPlan.connectTcp(ConnectPlan.kt:135)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at okhttp3.internal.connection.FastFallbackExchangeFinder$launchTcpConnect$1.runOnce(FastFallbackExchangeFinder.kt:141)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at okhttp3.internal.concurrent.TaskRunner$runnable$1.run(TaskRunner.kt:81)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1100)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
07-13 16:05:53.641  1919 10068 E ZunoPlugin: 	at java.lang.Thread.run(Thread.java:1572)
07-13 16:05:53.642  1919 10068 I ZunoPlugin: Diagnosing provider: IPTV Player
07-13 16:05:53.642  1919 10068 I ZunoPlugin:  - mainUrl: https://raw.githubusercontent.com/phisher98/TVVVV/main/15APR2024.m3u
07-13 16:05:53.642  1919 10068 I ZunoPlugin:  - mainPage size: 1
07-13 16:05:53.642  1919 10068 I ZunoPlugin:  - Calling getMainPage for page ''...
07-13 16:05:54.051  1919 10068 I ZunoPlugin:    -> success! items sections count: 33
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'FM' | items count: 2
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Non-Stop Hindi', url='{"url":"http://s5.voscast.com:8216/stream","title":"Non-Stop Hindi","poster":"https://static.mytuner.mobi/media/tvos_radios/Ekv3xnWJpp.png","nation":"FM","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Music' | items count: 30
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='7S Music (576p) [Not 24/7]', url='{"url":"http://103.199.161.254/Content/7smusic/Live/Channel(7smusic)/index.m3u8","title":"7S Music (576p) [Not 24/7]","poster":"https://i.imgur.com/zDiIhdN.png","nation":"Music","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Movies' | items count: 10
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='&TV (1080p)', url='{"url":"https://amg01117-amg01117c1-amgplt0165.playout.now3.amagi.tv/playlist.m3u8","title":"&TV (1080p)","poster":"https://i.imgur.com/32W50Y6.png","nation":"Movies","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'News' | items count: 95
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='A1 TV Rajasthan (720p)', url='{"url":"https://5b48d7e1b4bce.streamlock.net/myapp/a1live/playlist.m3u8","title":"A1 TV Rajasthan (720p)","poster":"https://i.imgur.com/XJA3bh1.png","nation":"News","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Religious' | items count: 36
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Aastha (480p)', url='{"url":"https://aasthaott.akamaized.net/110923/smil:aasthatv.smil/chunklist_b1328000.m3u8","title":"Aastha (480p)","poster":"https://i.imgur.com/IqgrV92.png","nation":"Religious","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Kids' | items count: 6
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Akaram Kidz (460p) [Not 24/7]', url='{"url":"http://akaram.zecast.net/akaram-live/akaramkidz/index.m3u8","title":"Akaram Kidz (460p) [Not 24/7]","poster":"https://i.imgur.com/ENImp3R.png","nation":"Kids","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Entertainment' | items count: 33
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Amrita TV (720p)', url='{"url":"https://dr1zhpsuem5f4.cloudfront.net/master.m3u8","title":"Amrita TV (720p)","poster":"https://i.imgur.com/WdSjlPl.png","nation":"Entertainment","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Animation' | items count: 1
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Animax [Geo-blocked]', url='{"url":"https://amg02159-kcglobal-amg02159c1-samsung-in-521.playouts.now.amagi.tv/playlist/amg02159-kcglobal-animax-samsungin/playlist.m3u8","title":"Animax [Geo-blocked]","poster":"https://upload.wikimedia.org/wikipedia/commons/6/65/Animaxlogo-20160701.png","nation":"Animation","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Lifestyle' | items count: 3
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Ayush TV (360p) [Not 24/7]', url='{"url":"https://95eryw39dwn4-hls-live.wmncdn.net/Ayushu/271ddf829afeece44d8732757fba1a66.sdp/index.m3u8","title":"Ayush TV (360p) [Not 24/7]","poster":"https://i.imgur.com/PWzvp0B.png","nation":"Lifestyle","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Business' | items count: 7
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Bloomberg TV Asia (720p)', url='{"url":"https://bloomberg.com/media-manifest/streams/asia.m3u8","title":"Bloomberg TV Asia (720p)","poster":"https://i.imgur.com/OuogLHx.png","nation":"Business","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Undefined' | items count: 55
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Calvary TV (720p)', url='{"url":"https://player.mslivestream.net/mslive/71e7f7cc7dc7c51206b7b3bbb51e3052.sdp/playlist.m3u8","title":"Calvary TV (720p)","poster":"https://i.imgur.com/BvQzwSp.png","nation":"Undefined","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'General' | items count: 37
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='CCV (480p)', url='{"url":"https://5a1178b42cc03.streamlock.net/8212/8212/playlist.m3u8","title":"CCV (480p)","poster":"https://i.imgur.com/4ss0KfA.png","nation":"General","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Culture' | items count: 3
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='DD Punjabi', url='{"url":"https://d3eyhgoylams0m.cloudfront.net/v1/manifest/93ce20f0f52760bf38be911ff4c91ed02aa2fd92/ed7bd2c7-8d10-4051-b397-2f6b90f99acb/20c8ad14-a158-4a42-8889-e032d070856e/2.m3u8","title":"DD Punjabi","poster":"https://i.imgur.com/WVtl6n2.png","nation":"Culture","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Cooking;Lifestyle' | items count: 1
07-13 16:05:54.051  1919 10068 I ZunoPlugin:        first item: name='Food Food (576p) [Not 24/7]', url='{"url":"http://14.199.164.20:4001/play/a0qx/index.m3u8","title":"Food Food (576p) [Not 24/7]","poster":"https://i.imgur.com/J930pA1.png","nation":"Cooking;Lifestyle","key":"null","keyid":"null"}'
07-13 16:05:54.051  1919 10068 I ZunoPlugin:      * Section: 'Movies;News' | items count: 1
